seed,episode,episode_seed,steps,red_reward,blue_reward,blackout,detected,load_served_pct
42,1,420000,50,540.4961454197015,4988.214712364927,0,0,0.9992076486192889
42,2,420001,50,541.0976790096312,4978.025542385179,0,0,0.9940526568780766
42,3,420002,50,550.7762598500971,4972.032928477894,0,0,0.9955695030781333
42,4,420003,50,540.4693717853035,4982.138519707674,0,0,0.9977480522331129
42,5,420004,28,-30.764014684862445,2400.377897129444,1,1,0.0
42,6,420005,50,545.5106806030036,4965.251202120545,0,0,0.9941656062073659
42,7,420006,50,550.8626055330552,4989.140610979735,0,0,0.9970389066555273
42,8,420007,46,163.53942860844478,4238.657740627945,1,1,0.0
42,9,420008,50,532.4973132135987,4892.579222477232,0,0,0.9800030746883414
42,10,420009,6,-275.4770661324377,212.5333542926611,1,1,0.0
123,1,1230000,50,550.5333220392771,5007.627386100036,0,0,1.0028100307084766
123,2,1230001,50,555.3509454287471,4981.298071575135,0,0,0.9964295118550646
123,3,1230002,36,63.493983534615836,3210.2057311687668,1,1,0.0
123,4,1230003,50,535.3268696803439,5018.961953461833,0,0,1.004071326997826
123,5,1230004,50,28.854210910799868,4998.583381481369,0,0,0.9981201140553125
123,6,1230005,22,-88.32382042938437,1812.0571114353215,1,1,0.0
123,7,1230006,50,545.3604729695187,4986.464175607194,0,0,0.9964554236853005
123,8,1230007,50,549.8457857323865,5060.596950319297,0,0,1.010434693392113
123,9,1230008,50,530.6463422626184,4975.727889648565,0,0,0.9955181114177829
123,10,1230009,50,546.5593738246884,4967.870829103831,0,0,0.9950107167687612
999,1,9990000,50,543.6187833431171,5076.438449472647,0,0,1.0152319673580532
999,2,9990001,50,512.0397389639141,5039.880537953294,0,0,1.0062183494904766
999,3,9990002,50,541.1087441289749,4998.588529130366,0,0,1.0009750044052452
999,4,9990003,50,536.4160089070206,4922.895303279737,0,0,0.985966924576591
999,5,9990004,50,541.0143722115045,4961.242766064648,0,0,0.9925948102640056
999,6,9990005,50,548.918972979851,5072.979553437525,0,0,1.0136275076756152
999,7,9990006,16,-164.53733735847706,1205.3863760696968,1,1,0.0
999,8,9990007,50,535.5705868962423,4973.281908702039,0,0,0.9948828382053029
999,9,9990008,50,545.9288695970241,5006.09522950609,0,0,1.0017648968829693
999,10,9990009,50,539.6228705706044,5025.274733627423,0,0,1.0046828379706016
2026,1,20260000,50,534.2229903741843,5019.362482286723,0,0,1.00330340465606
2026,2,20260001,50,532.9409269900673,5001.520488352129,0,0,1.0014195915196948
2026,3,20260002,50,551.6519443155141,4969.655283359176,0,0,0.9953006671738402
2026,4,20260003,50,496.2460630828965,4999.938339864007,0,0,1.0013465218079172
2026,5,20260004,50,536.8259898018955,4968.845248236946,0,0,0.9933929337048542
2026,6,20260005,50,545.6107465787322,5001.464553897276,0,0,1.0005371488765264
2026,7,20260006,50,429.9937489339329,5034.956507637041,0,0,1.0062138851333373
2026,8,20260007,10,-226.53990102671457,626.1384590743014,1,1,0.0
2026,9,20260008,50,534.629395798004,4968.546079435117,0,0,0.9928845212424139
2026,10,20260009,50,551.5161991756479,4965.017961435038,0,0,0.9943955434516925
2027,1,20270000,27,-41.923858539228604,2312.024671168501,1,1,0.0
2027,2,20270001,50,535.2357839516492,5048.330663251419,0,0,1.0089925426171957
2027,3,20270002,50,554.5656414498119,4988.637814042774,0,0,0.999058258873318
2027,4,20270003,50,480.36084311846105,5105.987242311491,0,0,0.9995784857380555
2027,5,20270004,50,540.0073731946973,5030.925234617088,0,0,1.0036164709710735
2027,6,20270005,34,50.19687255926169,3040.944020924122,1,1,0.0
2027,7,20270006,50,545.2822346095545,4982.951501733511,0,0,0.9968537058859085
2027,8,20270007,14,-186.57146065246675,1019.8930653885559,1,1,0.0
2027,9,20270008,33,38.33582427839991,2893.183855907656,1,1,0.0
2027,10,20270009,21,-99.18996071299392,1722.3966804861523,1,1,0.0
31415,1,314150000,50,538.1781181324657,5074.114601693219,0,0,1.015029322701406
31415,2,314150001,50,550.6428653349583,5047.397248647612,0,0,1.0086756910100152
31415,3,314150002,50,543.381421720177,4973.567550664003,0,0,0.9948535222754205
31415,4,314150003,50,555.4853483202768,5050.523622509851,0,0,1.0104414144000755
31415,5,314150004,50,547.0169576396916,4991.992840761355,0,0,0.9963812232150916
31415,6,314150005,27,-37.77486372642238,2325.212108311741,1,1,0.0
31415,7,314150006,36,67.86008084940511,3240.701655091679,1,1,0.0
31415,8,314150007,49,201.27749193067706,4494.3551903876105,1,1,0.0
31415,9,314150008,50,541.487176599287,5068.400139496462,0,0,0.9920561760652963
31415,10,314150009,50,525.5728650704483,4955.2937717366385,0,0,0.9913013581967052
