seed,episode,episode_seed,steps,red_reward,blue_reward,blackout,detected,load_served_pct
16180,2,161800001,50,534.4364156777779,5062.106361667212,0,0,1.0115949271982145
16180,3,161800002,50,545.1906140549352,4985.804865400455,0,0,0.9985142321383854
16180,4,161800003,10,-221.6196208204639,614.6294340993297,1,1,0.0
16180,5,161800004,50,556.344397009417,4980.681749096902,0,0,0.9963925163935582
16180,6,161800005,50,535.1662086816445,4991.289700450938,0,0,0.9974201916966288
16180,7,161800006,50,537.900667330206,5113.883482862401,0,0,1.022214952262018
16180,8,161800007,50,81.01851399631813,5037.862686742584,0,0,1.0078796525802198
16180,9,161800008,19,-136.29045143313218,1507.7562913640625,1,1,0.0
16180,10,161800009,50,535.786839906327,5017.248062165799,0,0,1.0030570912516203
57721,1,577210000,3,-308.9821789261966,-79.8707912108209,1,1,0.0
57721,2,577210001,50,550.6856743655434,5048.56974102604,0,0,1.0069058079828996
57721,3,577210002,50,535.0306360620569,4996.300627314478,0,0,1.0004888072673896
57721,4,577210003,41,117.02869307038515,3734.3897788154636,1,1,0.0
57721,5,577210004,50,543.6505701910248,4998.163430021953,0,0,0.9998350840551418
57721,6,577210005,50,546.3028066625227,4965.891901652958,0,0,0.9935278241536173
57721,7,577210006,50,339.5402501781267,4981.09520163094,0,0,0.9917196421101518
57721,8,577210007,50,480.89642649993897,5023.062153961187,0,0,1.0049442832246633
57721,9,577210008,50,549.8869256303758,5040.194749432121,0,0,1.0081559678222334
57721,10,577210009,50,547.4733347553282,4948.611888275801,0,0,0.9901860009843821
14142,1,141420000,50,557.5760339791198,4945.514887679757,0,0,0.9894409970439186
14142,2,141420001,50,529.9529262762775,4978.072485356527,0,0,0.9969931920637672
14142,3,141420002,12,-204.10719139008918,815.1815448493458,1,1,0.0
14142,4,141420003,50,270.404835426615,4963.64011250872,0,0,0.9909461983506018
14142,5,141420004,50,531.5697738471185,4944.761863712124,0,0,0.990434779645308
14142,6,141420005,50,534.8021264233703,4980.17148301978,0,0,0.9952319148965922
14142,7,141420006,4,-297.7977469251531,10.004051833703954,1,1,0.0
14142,8,141420007,50,544.6977190377565,5002.3839009424355,0,0,1.0023259796259183
14142,9,141420008,50,533.4700366386941,5030.71146345359,0,0,1.007459388011706
14142,10,141420009,50,556.0841420810141,4961.8087302007325,0,0,0.9916679904107258
