episode,curriculum_level,scenario,steps,reward,rolling_avg_reward,loss,success_rate,blocked_action_frequency,rollback_count,containment_conflicts,policy_confidence,unsafe_action_count
45,1,OVERLOAD,12,38.45,-190.12,303.2442,1.00,1.00,12,0,0.0987,12
46,1,OVERLOAD,12,37.99,-190.12,322.5725,1.00,1.00,12,1,0.0978,12
47,1,LINE_FAULT,12,-407.89,-190.12,906464.5531,0.00,1.00,12,0,0.4167,12
48,1,LINE_FAULT,12,-405.02,-190.12,120708.7162,0.00,1.00,12,0,0.4167,12
49,1,LINE_FAULT,12,-405.02,-231.52,48186.5572,0.00,1.00,12,0,0.4167,12
50,1,OVERLOAD,12,43.94,-230.92,377.9863,1.00,1.00,12,1,0.0961,12
51,1,OVERLOAD,12,22.99,-187.84,153.2074,1.00,1.00,12,1,0.1015,12
52,1,OVERLOAD,12,22.99,-143.77,75.2276,1.00,1.00,12,0,0.0955,12
53,1,OVERLOAD,12,27.99,-144.82,132.7917,1.00,1.00,12,1,0.0981,12
54,1,LINE_FAULT,12,-407.89,-143.15,231869.3084,0.00,1.00,12,0,0.4167,12
55,1,LINE_FAULT,12,-417.67,-188.76,474040.7475,0.00,1.00,12,0,0.4167,12
56,1,OVERLOAD,12,38.45,-188.71,270.4620,1.00,1.00,12,1,0.0965,12
57,1,LINE_FAULT,12,-407.89,-188.71,29114.9853,0.00,1.00,12,0,0.4167,12
58,1,LINE_FAULT,12,-417.67,-189.98,405619.1462,0.00,1.00,12,0,0.4167,12
59,1,OVERLOAD,12,38.45,-145.63,284.5279,1.00,1.00,12,0,0.1047,12
60,1,OVERLOAD,12,27.99,-147.23,212.5737,1.00,1.00,12,2,0.0989,12
61,1,LINE_FAULT,12,-407.89,-190.31,13517.6723,0.00,1.00,12,0,0.4167,12
62,1,LINE_FAULT,12,-417.67,-234.38,251820.4745,0.00,1.00,12,0,0.4167,12
63,1,OVERLOAD,12,23.45,-234.83,144.0412,1.00,1.00,12,1,0.1000,12
64,1,OVERLOAD,12,42.99,-189.75,398.0732,1.00,1.00,12,1,0.1018,12
65,1,LINE_FAULT,12,-407.89,-188.77,17245.7932,0.00,1.00,12,0,0.4167,12
66,1,LINE_FAULT,12,-417.67,-234.38,269200.4496,0.00,1.00,12,0,0.4167,12
67,1,LINE_FAULT,12,-399.79,-233.57,12023.3496,0.00,1.00,12,0,0.4167,12
68,1,LINE_FAULT,12,-405.02,-232.30,13015.5465,0.00,1.00,12,0,0.4167,12
69,1,LINE_FAULT,12,-405.02,-276.65,13079.9838,0.00,1.00,12,0,0.4167,12
70,1,LINE_FAULT,12,-417.67,-321.22,203189.6375,0.00,1.00,12,0,0.4167,12
71,1,OVERLOAD,12,38.45,-276.58,263.9341,1.00,1.00,12,1,0.1064,12
72,1,LINE_FAULT,12,-424.58,-277.27,143216.1847,0.00,1.00,12,0,0.4167,12
73,1,LINE_FAULT,12,-399.79,-319.60,11637.0839,0.00,1.00,12,0,0.4167,12
74,1,OVERLOAD,12,43.94,-319.50,336.9652,1.00,1.00,12,1,0.1031,12
75,1,OVERLOAD,12,22.99,-276.42,69.3320,1.00,1.00,12,0,0.0985,12
76,1,LINE_FAULT,12,-407.89,-275.44,12984.9635,0.00,1.00,12,0,0.4167,12
77,1,OVERLOAD,12,43.94,-231.06,370.6457,1.00,1.00,12,2,0.1008,12
78,1,OVERLOAD,12,37.99,-186.76,256.2870,1.00,1.00,12,1,0.0986,12
79,1,OVERLOAD,12,42.99,-141.96,340.3620,1.00,1.00,12,0,0.0996,12
80,1,LINE_FAULT,12,-407.89,-140.98,15711.0896,0.00,1.00,12,0,0.4167,12
81,1,OVERLOAD,12,43.94,-140.44,341.0595,1.00,1.00,12,2,0.0957,12
82,1,LINE_FAULT,12,-407.89,-138.77,16040.7196,0.00,1.00,12,0,0.4167,12
83,1,LINE_FAULT,12,-405.02,-139.29,12003.4144,0.00,1.00,12,0,0.4167,12
84,1,LINE_FAULT,12,-405.02,-184.19,12626.5250,0.00,1.00,12,0,0.4167,12
85,1,OVERLOAD,12,38.94,-182.59,223.6826,1.00,1.00,12,0,0.0956,12
86,1,OVERLOAD,12,42.99,-137.50,347.4711,1.00,1.00,12,2,0.1038,12
87,1,OVERLOAD,12,42.99,-137.60,340.2828,1.00,1.00,12,0,0.0943,12
88,1,LINE_FAULT,12,-407.89,-182.19,15011.1657,0.00,1.00,12,0,0.4167,12
